time,latitude,longitude,depth,mag,nst,gap,dmin,rms,net,id,place,horizontalError,magNst,locationSource
2020-02-17T15:46:43.450Z,17.901,-66.9046,10,3.05,12,226,0.0783,0.1,pr,pr2020048025,"9km SSE of Guanica, Puerto Rico",0.7,7,pr
2020-02-17T15:44:53.110Z,17.9166,-66.8061,13,1.52,5,242,0.0936,0.16,pr,pr2020048024,"8km S of Indios, Puerto Rico",1.37,5,pr
2020-02-17T15:42:56.240Z,17.9493,-66.8505,15,1.86,3,327,0.0386,0.05,pr,pr2020048026,"5km SSW of Indios, Puerto Rico",0.94,3,pr
2020-02-17T15:37:25.720Z,17.8563,-66.8911,13,2.32,9,251,0.1194,0.09,pr,pr2020048023,"12km S of Guanica, Puerto Rico",0.79,5,pr
2020-02-17T15:26:50.280Z,19.1833324,-155.4581604,35.12,1.89,32,122,0.02802,0.17,hv,hv71387142,"3km SE of Pahala, Hawaii",0.64,6,hv
2020-02-17T15:17:57.870Z,61.4859,-150.6646,65.9,1.5,,,,0.64,ak,ak02027mtxez,"38km W of Big Lake, Alaska",,,ak
2020-02-17T15:07:27.601Z,-6.3238,130.2424,130.95,4.5,,53,1.953,0.34,us,us70007rvh,"215km NNW of Saumlaki, Indonesia",7.5,24,us
2020-02-17T15:03:56.420Z,38.8153343,-122.8243332,2.23,1.76,33,53,0.007484,0.03,nc,nc73342380,"7km NW of The Geysers, CA",0.19,8,nc
2020-02-17T14:59:56.479Z,59.1453,-153.2325,83.4,1.9,,,,0.27,ak,ak02027mq5vm,"106km SW of Anchor Point, Alaska",,,ak
2020-02-17T14:56:14.230Z,33.579,-116.506,12.21,1.57,19,101,0.02993,0.28,ci,ci39074367,"16km E of Anza, CA",0.49,28,ci
2020-02-17T14:55:51.640Z,33.496,-116.4775,14.73,1.33,26,64,0.07589,0.21,ci,ci39074359,"19km ESE of Anza, CA",0.35,26,ci
2020-02-17T14:51:31.110Z,34.029,-117.5218333,3.39,1.2,36,39,0.04104,0.22,ci,ci39074343,"4km WNW of Glen Avon, CA",0.3,26,ci
2020-02-17T14:51:26.150Z,34.1506667,-117.23,2.12,1.4,14,206,0.09231,0.23,ci,ci39074351,"3km NW of Highland, CA",0.81,3,ci
2020-02-17T14:51:22.797Z,36.6569,-116.2732,8.1,1.8,41,98.5,0.054,0.1603,nn,nn00717261,"51km ESE of Beatty, Nevada",,12,nn
2020-02-17T14:39:44.307Z,62.719,-149.8528,50.4,2.5,,,,0.87,ak,ak02027md6g6,"42km NNE of Talkeetna, Alaska",,,ak
2020-02-17T14:20:25.574Z,37.0414,-14.583,10,4.7,,66,4.603,0.94,us,us70007rv1,Azores-Cape St. Vincent Ridge,7,12,us
2020-02-17T14:02:27.302Z,62.0383,-149.8477,41.3,1.6,,,,0.63,ak,ak02027m57pm,"13km S of Y, Alaska",,,ak
2020-02-17T13:57:26.850Z,17.9233,-66.8365,13,2.39,9,227,0.0671,0.24,pr,pr2020048022,"8km SSW of Indios, Puerto Rico",1.34,6,pr
2020-02-17T13:50:22.146Z,-4.5245,138.683,148.61,4.9,,92,6.615,0.49,us,us70007rur,"247km NW of Tanahmerah, Indonesia",9.4,20,us
2020-02-17T13:49:01.660Z,35.876,-117.7011667,9.07,1.22,15,72,0.08275,0.14,ci,ci39074327,"20km ESE of Little Lake, CA",0.26,17,ci
2020-02-17T13:46:05.730Z,40.1894,-121.0925,8.2,1.3,7,136.88,0.215,0.1246,nn,nn00717268,"13km WNW of Greenville, California",,2,nn
2020-02-17T13:42:39.150Z,33.224,-116.739,11.82,1.09,38,33,0.02042,0.2,ci,ci39074319,"3km SE of Lake Henshaw, CA",0.23,24,ci
2020-02-17T13:42:06.768Z,61.9782,-149.4199,35,1.9,,,,0.58,ak,ak02027lsb5c,"27km NNW of Fishhook, Alaska",,,ak
2020-02-17T13:32:14.539Z,36.11483333,-97.8675,5.97,2.03,93,34,0,0.16,ok,ok2020dixl,"2km ENE of Hennessey, Oklahoma",,42,ok
2020-02-17T13:30:51.720Z,17.9868,-66.8146,12,2.36,11,186,0.0657,0.17,pr,pr2020048021,"0km SSE of Indios, Puerto Rico",1,5,pr
2020-02-17T13:21:41.117Z,61.8382,-151.6331,76.3,1.6,,,,0.79,ak,ak02027lnvrp,"84km W of Willow, Alaska",,,ak
2020-02-17T13:19:16.400Z,34.3246651,-116.9628296,12.48,1.4,18,140,0.0713,0.15,ci,ci39074303,"10km NNW of Big Bear Lake, CA",0.52,11,ci
2020-02-17T13:17:02.370Z,33.8063333,-117.7316667,0.71,1.02,16,59,0.05291,0.28,ci,ci39074295,"7km NE of North Tustin, CA",0.4,30,ci
2020-02-17T13:08:55.660Z,19.2041664,-155.470993,35.55,2.13,49,99,0.04922,0.12,hv,hv71387002,"0km E of Pahala, Hawaii",0.45,14,hv
2020-02-17T12:56:17.190Z,19.198,-155.468338,36.23,2.36,57,98,0.04277,0.13,hv,hv71386982,"1km ESE of Pahala, Hawaii",0.49,3,hv
2020-02-17T12:54:53.976Z,28.5655,142.7077,10,5.4,,99,1.535,1.04,us,us70007rty,"171km NNE of Chichi-shima, Japan",7.4,17,us
2020-02-17T12:39:45.960Z,19.2236671,-155.4083405,33.14,1.81,22,199,0.0891,0.12,hv,hv71386967,"7km ENE of Pahala, Hawaii",0.82,3,hv
2020-02-17T12:28:13.850Z,33.6621667,-116.7641667,12.78,1.02,37,56,0.06424,0.16,ci,ci39074279,"10km SSW of Idyllwild, CA",0.2,28,ci
2020-02-17T12:27:54.000Z,36.65183333,-98.7935,5.42,1.51,44,71,0.117876869,0.15,ok,ok2020divi,"20km SSW of Alva, Oklahoma",,17,ok
2020-02-17T12:27:07.800Z,17.8451,-66.8395,14,2.16,6,254,0.1359,0.13,pr,pr2020048020,"15km SSE of Guanica, Puerto Rico",1.13,4,pr
2020-02-17T12:22:42.804Z,36.8469,-113.8583,18,1.4,5,174.08,0.308,0.2142,nn,nn00717269,"7km SE of Littlefield, Arizona",,1,nn
2020-02-17T12:13:58.410Z,17.8655,-66.8835,12,2.5,9,248,0.1097,0.16,pr,pr2020048019,"12km SSE of Guanica, Puerto Rico",0.85,4,pr
2020-02-17T12:11:46.824Z,-7.4147,105.8858,59.25,4.7,,158,1.75,1.21,us,us70007rtb,"61km W of Gunungbatu, Indonesia",10.3,31,us
2020-02-17T12:11:23.773Z,61.3691,-150.0755,36.1,1.6,1000000,,,0.61,ak,ak02027l09nz,"18km SSW of Big Lake, Alaska",,,ak
2020-02-17T11:48:24.800Z,38.7978325,-122.8123322,2.56,1.03,24,81,0.01194,0.05,nc,nc73342270,"5km WNW of The Geysers, CA",0.27,3,nc
2020-02-17T11:42:44.341Z,61.4051,-150.0634,48.8,1.4,,,,0.68,ak,ak02027kliuq,"14km SSW of Big Lake, Alaska",,,ak
2020-02-17T11:38:12.670Z,38.796833,-122.8146667,3.02,2.36,50,50,0.01242,0.06,nc,nc73342245,"6km WNW of The Geysers, CA",0.2,23,nc
2020-02-17T11:30:51.320Z,17.9385,-66.9881,10,2.83,9,227,0.1149,0.18,pr,pr2020048018,"7km ESE of La Parguera, Puerto Rico",0.94,4,pr
2020-02-17T11:29:54.230Z,35.7255,-117.5333333,6.41,2.11,31,69,0.1041,0.15,ci,ci39074255,"13km WSW of Searles Valley, CA",0.23,25,ci
2020-02-17T11:18:04.570Z,17.9218,-66.8968,10,3.62,11,218,0.0561,0.09,pr,pr2020048017,"5km SSE of Guanica, Puerto Rico",0.83,5,pr
2020-02-17T11:16:00.830Z,32.7508333,-115.5056667,4.96,1.3,13,53,0.07357,0.14,ci,ci39074247,"3km NE of Heber, CA",0.31,17,ci
2020-02-17T11:02:20.620Z,35.7463333,-117.5418333,2.42,0.99,9,157,0.08274,0.15,ci,ci39074239,"13km W of Searles Valley, CA",0.41,10,ci
2020-02-17T10:58:21.660Z,17.9616,-66.8605,14,2.96,8,210,0.0231,0.09,pr,pr2020048016,"3km ESE of Maria Antonia, Puerto Rico",0.77,5,pr
2020-02-17T10:32:02.640Z,36.604,-115.8952,1.5,1,21,95.06,0.065,0.16,nn,nn00717256,"44km N of Pahrump, Nevada",,,nn
2020-02-17T10:30:21.240Z,17.9921,-66.7051,14,2.55,9,204,0.1111,0.21,pr,pr2020048015,"1km ESE of Tallaboa, Puerto Rico",1.16,5,pr
2020-02-17T10:16:59.780Z,35.7763333,-117.5986667,4.7,1.11,16,141,0.03933,0.16,ci,ci39074215,"18km W of Searles Valley, CA",0.34,12,ci
2020-02-17T10:15:35.470Z,18.0226,-66.8551,9,3.02,11,121,0.0533,0.12,pr,pr2020048014,"1km SSW of Yauco, Puerto Rico",0.65,5,pr
2020-02-17T09:59:21.670Z,35.8815,-117.6928333,7.66,1.41,23,77,0.07469,0.11,ci,ci39074207,"20km ESE of Little Lake, CA",0.2,22,ci
2020-02-17T09:49:02.360Z,36.0115,-117.5006667,1.77,1.32,21,75,0.1115,0.15,ci,ci39074199,"28km NNW of Searles Valley, CA",0.29,15,ci
2020-02-17T09:46:47.810Z,39.5723343,-122.0296631,23.01,2.77,23,65,0.3159,0.07,nc,nc73342200,"15km ENE of Willows, CA",0.28,16,nc
2020-02-17T09:37:47.860Z,39.4326668,-123.1019974,-0.55,2.54,28,56,0.1476,0.14,nc,nc73342195,"13km WNW of Lake Pillsbury, CA",0.3,20,nc
2020-02-17T09:31:38.180Z,37.6673317,-118.8544998,-0.26,1.07,10,161,0.03284,0.03,nc,nc73342190,"12km ENE of Mammoth Lakes, CA",0.31,10,nc
2020-02-17T09:30:32.990Z,61.7643,-150.7169,62.9,1.2,,,,0.37,ak,ak02027jc260,"35km W of Willow, Alaska",,,ak
2020-02-17T09:26:58.170Z,19.2199993,-155.4019928,32.12,2.37,57,147,0.01792,0.14,hv,hv71386827,"8km ENE of Pahala, Hawaii",0.54,5,hv
2020-02-17T09:19:40.170Z,38.8138351,-122.7870026,1.16,2.03,39,38,0.004969,0.07,nc,nc73342170,"5km NNW of The Geysers, CA",0.17,11,nc
2020-02-17T09:18:06.340Z,57.4893,-156.0305,98.9,4.7,,,,0.51,ak,ak02027j9fgu,"122km W of Larsen Bay, Alaska",,,ak
2020-02-17T09:08:35.169Z,63.0704,-149.9301,33.5,1.9,,,,0.78,ak,ak02027j7chq,"60km SW of Cantwell, Alaska",,,ak
2020-02-17T09:08:35.160Z,17.9586,-66.9458,12,2.51,6,212,0.0686,0.14,pr,pr2020048013,"4km WSW of Guanica, Puerto Rico",1,4,pr
2020-02-17T09:01:55.890Z,17.8948,-66.8365,12,2.52,10,235,0.0909,0.14,pr,pr2020048012,"10km SSE of Maria Antonia, Puerto Rico",0.87,4,pr
2020-02-17T08:48:11.090Z,35.7053333,-117.5571667,4.15,1.11,16,146,0.115,0.15,ci,ci39074183,"14km NE of Ridgecrest, CA",0.36,14,ci
2020-02-17T08:46:46.240Z,38.7883339,-122.7636642,1.63,1.21,24,68,0.01266,0.03,nc,nc73342160,"1km NNW of The Geysers, CA",0.2,6,nc
2020-02-17T08:41:26.011Z,59.9688,-151.8068,41.1,1.8,,,,0.51,ak,ak02027isywp,"21km N of Anchor Point, Alaska",,,ak
2020-02-17T08:34:56.651Z,52.2569,-170.0836,35,4.1,,141,0.579,0.94,us,us70007rr0,"58km SE of Yunaska Island, Alaska",5.8,99,us
2020-02-17T08:31:10.110Z,47.531,-121.6006667,87.78,2.11,21,222,,0.15,uw,uw61574797,"12km ENE of Tanner, Washington",1.31,12,uw
2020-02-17T08:16:05.600Z,19.1973324,-155.468338,34.79,2.18,53,98,0.04211,0.12,hv,hv71386767,"1km SE of Pahala, Hawaii",0.5,25,hv
2020-02-17T08:08:21.300Z,35.6445,-117.4365,0.27,1.21,14,147,0.06155,0.21,ci,ci39074175,"14km SSW of Searles Valley, CA",0.59,16,ci
2020-02-17T08:05:31.940Z,35.7039986,-117.5061646,6.05,1.15,12,105,0.1226,0.1,ci,ci39074167,"12km SW of Searles Valley, CA",0.55,4,ci
2020-02-17T08:02:55.690Z,37.4091682,-121.7529984,0.88,1.19,10,122,0.03836,0.06,nc,nc73342145,"8km NE of Alum Rock, CA",0.41,8,nc
2020-02-17T07:41:13.460Z,19.0891,-67.8545,28,3.33,11,321,0.7984,0.41,pr,pr2020048011,"82km NW of San Antonio, Puerto Rico",2.54,2,pr
2020-02-17T07:34:10.270Z,17.9348,-67.0243,5,3.47,11,235,0.1114,0.11,pr,pr2020048010,"8km S of La Parguera, Puerto Rico",0.54,5,pr
2020-02-17T07:27:56.570Z,36.5053329,-120.9158325,14.94,2.44,48,102,0.1158,0.15,nc,nc73342135,"20km E of Pinnacles, CA",0.37,37,nc
2020-02-17T07:04:37.380Z,37.713501,-122.1100006,4.76,1.94,37,57,0.01294,0.09,nc,nc73342130,"3km NW of Castro Valley, CA",0.17,33,nc
2020-02-17T07:00:47.390Z,59.5331,-153.4245,112.3,2,,,,0.5,ak,ak02027hysme,"89km ESE of Old Iliamna, Alaska",,,ak
2020-02-17T06:45:41.989Z,63.3725,-151.3629,7.5,1.8,,,,0.63,ak,ak02027hmztx,"120km W of Cantwell, Alaska",,,ak
2020-02-17T06:45:32.970Z,19.5726662,-155.7158356,7.34,2.07,45,55,0.0691,0.35,hv,hv71386697,"20km NE of Honaunau-Napoopoo, Hawaii",0.52,6,hv
2020-02-17T06:33:10.380Z,32.0628333,-116.3631667,17.98,2.18,18,90,0.3215,0.21,ci,ci39074151,"32km NE of Ensenada, B.C., MX",0.56,13,ci
2020-02-17T06:32:06.550Z,32.0606651,-116.3586655,16.76,3.29,53,91,0.3233,0.25,ci,ci39074143,"32km NE of Ensenada, B.C., MX",0.31,18,ci
2020-02-17T06:21:30.450Z,17.9906,-66.7586,12,1.58,10,185,0.1216,0.14,pr,pr2020048009,"3km SSE of Magas Arriba, Puerto Rico",0.73,0,pr
2020-02-17T06:11:41.959Z,37.7849,-114.3182,5.1,1.1,9,83.41,0.212,0.1154,nn,nn00717263,"19km SE of Pioche, Nevada",,2,nn
2020-02-17T06:07:27.580Z,34.1393333,-118.5713333,0.67,1.77,22,108,0.1339,0.23,ci,ci39074135,"4km SSW of Tarzana, CA",0.57,28,ci
2020-02-17T06:00:55.320Z,17.9146,-66.8383,13,2.54,11,217,0.073,0.21,pr,pr2020048008,"8km SE of Maria Antonia, Puerto Rico",1.12,6,pr
2020-02-17T05:56:50.330Z,34.052,-118.9075,5.99,1.62,26,139,0.05498,0.29,ci,ci39074127,"10km WNW of Malibu, CA",0.71,30,ci
2020-02-17T05:51:58.710Z,19.2188339,-155.4393311,32.89,1.86,36,127,0.04367,0.13,hv,hv71386617,"4km ENE of Pahala, Hawaii",0.59,6,hv
2020-02-17T05:50:21.760Z,46.8926667,-112.6523333,12.47,2.03,18,93,0.019,0.13,mb,mb80382054,"7km SSE of Lincoln, Montana",0.41,4,mb
2020-02-17T05:50:08.710Z,35.6118333,-117.4551667,13.05,0.99,11,159,0.1139,0.14,ci,ci39074119,"18km SSW of Searles Valley, CA",0.46,11,ci
2020-02-17T05:32:42.620Z,40.5089989,-124.3668365,12.62,1.92,7,286,0.1972,0.1,nc,nc73342110,"12km SW of Ferndale, CA",4.29,4,nc
2020-02-17T05:31:48.244Z,61.9603,-143.6834,0,1.7,,,,1.2,ak,ak02027gykmg,"63km NE of Chitina, Alaska",,,ak
2020-02-17T05:23:16.336Z,63.243,-150.6072,105.4,1.8,,,,2.58,ak,ak02027gwscz,"84km W of Cantwell, Alaska",,,ak
2020-02-17T05:18:36.900Z,19.2253342,-155.4111633,30.72,1.99,45,143,0.0177,0.13,hv,hv71386592,"7km ENE of Pahala, Hawaii",0.45,17,hv
2020-02-17T05:10:30.712Z,-60.0095,-27.7118,123.38,5.2,,51,7.46,0.74,us,us70007rnf,"128km SSW of Bristol Island, South Sandwich Islands",10.4,93,us
2020-02-17T05:06:11.670Z,33.6568333,-116.7726667,13.35,1,36,40,0.06338,0.17,ci,ci39074095,"10km SSW of Idyllwild, CA",0.26,28,ci
2020-02-17T04:58:50.810Z,36.46416667,-98.75666667,8.1,1.47,39,62,0.017996468,0.09,ok,ok2020dign,"32km NW of Fairview, Oklahoma",,14,ok
2020-02-17T04:51:59.620Z,17.969,-66.8455,12,2.7,11,202,0.0342,0.09,pr,pr2020048007,"0km WNW of Indios, Puerto Rico",0.72,9,pr
2020-02-17T04:40:24.170Z,19.2220001,-155.4044952,31.21,2.37,48,150,0.01678,0.17,hv,hv71386547,"8km ENE of Pahala, Hawaii",0.55,7,hv
2020-02-17T04:12:07.570Z,17.8585,-66.8866,11,2.5,10,250,0.1168,0.07,pr,pr2020048006,"12km S of Guanica, Puerto Rico",0.69,6,pr
2020-02-17T04:00:32.262Z,62.2097,-141.4606,0,1.6,,,,0.64,ak,ak02027g6gms,"147km SSE of Tok, Alaska",,,ak
2020-02-17T03:54:56.500Z,35.8608333,-117.687,7.9,1.53,24,79,0.08201,0.14,ci,ci39074063,"22km ESE of Little Lake, CA",0.21,25,ci
2020-02-17T03:54:30.509Z,-4.2956,152.9991,21.93,4.7,,118,0.839,0.61,us,us70007rmp,"19km N of Taron, Papua New Guinea",9.5,38,us
2020-02-17T03:40:51.154Z,35.9175,140.2234,35,4.6,,96,0.313,0.7,us,us70007rmf,"4km ENE of Ryugasaki, Japan",4.4,156,us
2020-02-17T03:36:24.505Z,40.1971,-121.4232,12.4,1.5,5,296.94,0.439,0.16,nn,nn00717246,"20km SW of Chester, California",,2,nn
2020-02-17T03:33:15.482Z,51.2379,-178.1517,35,4.7,,122,0.876,1.13,us,us70007rm3,"66km E of Amatignak Island, Alaska",7.3,12,us
2020-02-17T03:20:32.690Z,17.8978,-66.9146,8,2.48,12,228,0.085,0.07,pr,pr2020048004,"4km SSE of Guanica, Puerto Rico",0.5,12,pr
2020-02-17T03:10:53.740Z,19.2054996,-155.3876648,32.1,2.23,56,159,0.03316,0.14,hv,hv71386412,"9km E of Pahala, Hawaii",0.54,15,hv
2020-02-17T03:10:09.510Z,17.9156,-66.8441,15,2.21,12,217,0.0691,0.1,pr,pr2020048005,"8km SE of Maria Antonia, Puerto Rico",0.71,7,pr
2020-02-17T03:08:33.829Z,36.53916667,-98.977,7.28,1.91,52,60,0.052189759,0.15,ok,ok2020dicw,"23km ENE of Mooreland, Oklahoma",,21,ok
2020-02-17T02:56:52.570Z,19.2294998,-155.4191742,33.76,2.15,44,135,0.02197,0.12,hv,hv71386392,"6km ENE of Pahala, Hawaii",0.61,19,hv
2020-02-17T02:47:39.610Z,19.2161674,-155.4241638,33.03,2.42,46,136,0.03294,0.13,hv,hv71386387,"5km ENE of Pahala, Hawaii",0.58,4,hv
2020-02-17T02:44:54.502Z,40.3337,-119.4914,11.4,1,5,297.38,0.246,0.1556,nn,nn00717245,"29km SSW of Gerlach-Empire, Nevada",,3,nn
2020-02-17T02:27:45.610Z,17.9976,-66.7965,17,2.67,12,176,0.0857,0.2,pr,pr2020048003,"2km SSW of Guayanilla, Puerto Rico",0.88,12,pr
2020-02-17T02:15:30.360Z,34.7961667,-117.7181667,27.81,1.3,6,144,0.1391,0.18,ci,ci39074007,"23km ESE of Edwards Air Force Base, CA",1.75,12,ci
2020-02-17T02:04:11.880Z,35.9058333,-117.707,2.13,0.99,15,65,0.06224,0.14,ci,ci39073999,"18km E of Little Lake, CA",0.21,13,ci
2020-02-17T02:02:52.150Z,17.8026,-66.8255,9,2.38,7,253,0.1807,0.54,pr,pr2020048002,"20km SSE of Guanica, Puerto Rico",3.49,6,pr
2020-02-17T01:44:42.640Z,17.8156,-66.8353,5,2.49,12,242,0.1654,0.2,pr,pr2020048001,"18km SSE of Guanica, Puerto Rico",0.79,8,pr
2020-02-17T01:44:28.015Z,61.0407,-148.2882,0,1.5,,,,0.98,ak,ak02027enkz5,"36km NE of Whittier, Alaska",,,ak
2020-02-17T01:19:28.900Z,45.8655,-111.3638333,4.19,1.66,14,112,0.304,0.16,mb,mb80382044,"2km WNW of Manhattan, Montana",0.44,7,mb
2020-02-17T01:06:30.850Z,33.4936667,-116.7878333,6.88,1.01,36,40,0.02139,0.21,ci,ci39073967,"9km NE of Aguanga, CA",0.23,27,ci
2020-02-17T00:57:11.849Z,36.361,-98.151,6.94,1.85,80,55,0.042291701,0.19,ok,ok2020dhyn,"23km SSE of Helena, Oklahoma",,34,ok
2020-02-17T00:45:35.204Z,60.5723,-141.7014,7.8,1.6,,,,0.58,ak,ak02027e2dl3,"69km NE of Cape Yakataga, Alaska",,,ak
2020-02-17T00:29:20.484Z,27.1711,54.747,10,4,,107,2.575,0.57,us,us70007rk2,"69km SE of Lar, Iran",7.1,8,us
2020-02-17T00:28:15.072Z,-33.1178,179.9481,148.19,5.5,,29,4.267,0.79,us,us70007rk0,"216km SSW of L'Esperance Rock, New Zealand",8.2,15,us
2020-02-17T00:23:52.050Z,17.8728,-66.8876,12,2.35,12,232,0.1026,0.11,pr,pr2020048000,"11km S of Guanica, Puerto Rico",0.85,5,pr
2020-02-17T00:13:20.378Z,64.945,-147.2919,0,1.5,,,,0.83,ak,ak02027dvhje,"19km NE of Badger, Alaska",,,ak
2020-02-17T00:10:01.660Z,38.8126678,-122.8303299,1.47,1.11,23,59,0.0039,0.02,nc,nc73342040,"8km WNW of The Geysers, CA",0.19,4,nc
2020-02-16T23:34:28.851Z,36.2175,70.1489,128.78,4,,75,1.901,0.69,us,us70007rjb,"47km SSE of Farkhar, Afghanistan",7.7,7,us
2020-02-16T23:30:03.027Z,60.2578,-151.016,60.3,1.4,,,,0.39,ak,ak0202644pu6,"20km SE of Cohoe, Alaska",,,ak
2020-02-16T23:09:31.940Z,39.0176659,-123.7070007,2.91,2.86,15,212,0.132,0.1,nc,nc73342005,"12km N of Point Arena, CA",0.74,22,nc
2020-02-16T22:55:25.530Z,17.9333,-66.8155,9,1.87,11,224,0.0762,0.16,pr,pr2020047039,"6km S of Indios, Puerto Rico",0.76,5,pr
2020-02-16T22:24:35.439Z,34.96666667,-97.70083333,8.17,2.5,83,35,0.098080753,0.31,ok,ok2020dhtm,"17km NNW of Lindsay, Oklahoma",,32,ok
2020-02-16T22:19:23.960Z,17.8321,-66.8805,6,2.4,11,241,0.143,0.14,pr,pr2020047038,"15km S of Guanica, Puerto Rico",0.82,6,pr
2020-02-16T22:05:45.219Z,-21.9538,-68.5344,107.07,5.2,,43,0.675,1.04,us,us70007rhe,"70km NE of Calama, Chile",5.4,39,us
2020-02-16T21:59:21.226Z,61.4649,-151.5286,89.5,1.9,,,,0.8,ak,ak02026343ss,"84km W of Big Lake, Alaska",,,ak
2020-02-16T21:56:07.310Z,35.7150002,-117.5528336,2.13,2.13,39,50,0.1105,0.15,ci,ci39073863,"15km WSW of Searles Valley, CA",0.21,25,ci
2020-02-16T21:49:21.100Z,37.6629982,-118.8564987,2.41,1.26,10,151,0.02988,0.03,nc,nc73341975,"11km ENE of Mammoth Lakes, CA",0.38,11,nc
2020-02-16T21:39:02.300Z,17.8188,-66.8503,7,2.71,12,242,0.1589,0.17,pr,pr2020047037,"17km SSE of Guanica, Puerto Rico",1.25,4,pr
2020-02-16T21:35:58.964Z,62.2105,-148.6727,18.8,2.2,,,,0.7,ak,ak020262z1jc,"47km NNE of Sutton-Alpine, Alaska",,,ak
2020-02-16T21:29:48.230Z,37.6643333,-118.8568344,2.23,1.59,18,138,0.03114,0.04,nc,nc73341965,"11km ENE of Mammoth Lakes, CA",0.35,17,nc
2020-02-16T21:27:58.410Z,17.9346,-66.9281,9,2.29,9,223,0.0635,0.07,pr,pr2020047036,"4km SSW of Guanica, Puerto Rico",0.8,3,pr
2020-02-16T21:18:59.230Z,19.2000008,-155.4173279,30.3,1.96,20,158,0.04175,0.09,hv,hv71386022,"6km E of Pahala, Hawaii",0.82,5,hv
2020-02-16T21:06:12.890Z,17.9485,-66.9625,10,1.85,8,222,0.0874,0.07,pr,pr2020047035,"6km WSW of Guanica, Puerto Rico",0.77,2,pr
2020-02-16T20:44:44.051Z,60.2638,-151.5668,47.8,1.2,,,,0.75,ak,ak020262fi7p,"18km SW of Cohoe, Alaska",,,ak
2020-02-16T20:43:43.450Z,37.6629982,-118.857666,2.33,1.56,15,137,0.0304,0.04,nc,nc73341960,"11km ENE of Mammoth Lakes, CA",0.4,12,nc
2020-02-16T20:29:50.520Z,38.8151665,-122.8115005,1.33,1.15,18,46,0.01455,0.05,nc,nc73341955,"6km NW of The Geysers, CA",0.23,3,nc
2020-02-16T20:29:44.583Z,61.4691,-149.865,33.5,1.3,,,,0.57,ak,ak020262caii,"7km SE of Big Lake, Alaska",,,ak
2020-02-16T20:29:42.780Z,19.0083,-67.7756,10,3.09,12,318,0.6907,0.48,pr,pr2020047034,"81km NW of San Antonio, Puerto Rico",3.01,8,pr
2020-02-16T20:22:40.890Z,17.9396,-67.021,5,1.86,9,234,0.1109,0.14,pr,pr2020047033,"4km SE of La Parguera, Puerto Rico",1.04,2,pr
2020-02-16T20:15:31.230Z,19.4053326,-155.2853394,0.43,1.91,16,65,0.01232,0.15,hv,hv71385927,"5km WSW of Volcano, Hawaii",0.22,12,hv
2020-02-16T20:14:27.640Z,17.9128,-66.8448,9,2.78,13,231,0.0712,0.08,pr,pr2020047032,"5km SSW of Indios, Puerto Rico",0.63,9,pr
2020-02-16T20:10:53.641Z,60.2626,-141.6537,13.2,1.3,,,,0.43,ak,ak02026288lv,"48km ENE of Cape Yakataga, Alaska",,,ak
2020-02-16T20:10:05.510Z,36.4118347,-120.9791641,1.48,1.98,14,112,0.03468,0.16,nc,nc73341950,"20km SE of Pinnacles, CA",0.59,11,nc
